index,line_start,line_end
SUB1026,01:52:44.681,01:52:46.266
SUB1027,01:52:47.351,01:52:48.685
SUB1028,01:52:48.894,01:52:50.687
SUB1029,01:52:50.896,01:52:57.402
SUB1031,01:52:57.611,01:52:59.655
SUB1032,01:52:59.863,01:53:00.864
SUB1033,01:53:01.073,01:53:04.576
SUB1034,01:53:05.202,01:53:07.663
SUB1035,01:53:10.249,01:53:12.334
SUB1036,01:53:12.543,01:53:14.044
SUB1037,01:53:14.253,01:53:29.560
SUB1041,01:53:29.768,01:53:32.104
SUB1042,01:53:34.022,01:53:37.401
SUB1043,01:53:41.155,01:53:44.408
SUB1044,01:53:44.616,01:53:47.661
SUB1045,01:53:47.953,01:54:07.723
SUB,,
SUB1051,01:55:45.237,01:55:47.948
SUB1052,01:56:18.604,01:56:19.480
SUB1053,01:56:19.730,01:56:20.939
SUB1054,01:56:21.273,01:56:23.150
SUB1055,01:56:27.112,01:56:29.323
SUB1056,01:56:29.531,01:56:31.033
SUB1057,01:56:37.664,01:56:41.084
SUB1058,01:56:41.960,01:56:43.253
SUB1059,01:56:50.302,01:56:52.095
SUB1060,01:56:53.597,01:56:58.018
SUB1062,01:56:58.602,01:57:05.442
SUB1064,01:57:06.485,01:57:08.946
SUB1065,01:57:09.279,01:57:11.573
SUB1066,01:57:12.908,01:57:13.992
SUB1067,01:57:16.829,01:57:18.831
SUB1068,01:57:21.875,01:57:22.918
SUB1069,01:57:43.689,01:57:45.190
SUB1070,01:57:45.941,01:57:47.818
SUB,,
SUB1071,01:57:50.863,01:57:55.868
SUB1072,01:57:59.413,01:58:01.373
SUB1073,01:58:02.291,01:58:04.293
SUB1074,01:58:09.798,01:58:14.761
SUB1075,01:58:17.014,01:58:19.850
SUB1076,01:58:40.579,01:58:41.747
SUB1077,01:58:45.167,01:58:46.293
SUB1078,01:58:46.543,01:58:50.881
SUB1079,01:58:51.381,01:58:52.508
SUB1080,01:58:54.259,01:58:57.095
SUB1081,01:58:57.304,01:59:00.599
SUB1082,01:59:04.645,01:59:17.908
SUB1085,01:59:34.091,01:59:38.428
SUB1085,01:59:34.091,01:59:38.428
SUB1086,01:59:42.808,02:00:03.454
SUB,,
SUB1087,01:59:49.148,02:00:03.454
SUB1090,02:00:14.506,02:00:16.341
SUB,,
SUB1091,02:00:31.773,02:00:36.653
SUB1092,02:00:43.869,02:00:46.872
SUB1093,02:00:59.885,02:01:05.015
SUB1095,02:01:13.690,02:01:24.701
SUB1098,02:03:13.644,02:03:15.229
SUB1098,02:03:13.644,02:03:15.229
SUB1099,02:05:05.047,02:05:08.091
SUB1100,02:05:08.300,02:05:10.093
SUB1102,02:06:51.528,02:06:52.821
SUB1102,02:06:51.528,02:06:52.821
SUB1103,02:06:53.030,02:07:01.330
SUB1106,02:07:01.580,02:07:05.334
SUB1107,02:07:05.751,02:07:08.337
SUB1108,02:07:08.545,02:07:10.714
SUB,,
SUB1109,02:07:15.302,02:07:17.137
SUB1110,02:07:17.930,02:07:19.223
SUB1111,02:07:19.973,02:07:23.435
SUB1112,02:07:27.481,02:07:29.358
SUB1113,02:07:29.733,02:07:33.070
SUB1117,02:10:14.648,02:10:29.830
SUB1121,02:10:53.479,02:10:54.771
SUB1122,02:10:56.815,02:11:00.527
SUB,,
SUB1122,02:10:56.815,02:11:03.530
SUB1123,02:11:00.819,02:11:03.530
SUB1124,02:11:03.739,02:11:05.157
SUB1125,02:11:05.699,02:11:07.576
SUB1125,02:11:05.699,02:11:07.576
SUB,,
SUB1126,02:11:08.035,02:11:09.453
SUB1127,02:11:09.912,02:11:11.205
SUB1128,02:11:11.413,02:11:15.626
SUB1130,02:11:15.834,02:11:24.885
SUB1133,02:11:25.844,02:11:29.306
SUB1134,02:11:27.846,02:11:31.433
SUB1136,02:11:31.892,02:11:35.187
SUB1137,02:11:36.438,02:11:39.149
SUB1138,02:11:39.149,02:11:41.860
SUB1138,02:11:39.399,02:11:41.860
SUB1139,02:11:42.069,02:11:43.070
SUB,,
SUB1140,02:11:46.532,02:11:48.700
SUB1141,02:11:48.909,02:11:52.246
SUB1142,02:11:54.790,02:12:16.061
SUB1146,02:12:16.937,02:12:18.188
SUB1147,02:12:21.400,02:12:28.574
SUB1149,02:12:30.784,02:12:32.828
SUB1150,02:12:37.458,02:12:39.543
SUB1151,02:12:45.257,02:13:27.049
SUB1157,02:13:40.354,02:13:48.028
SUB1159,02:13:50.155,02:14:22.479
SUB1164,02:14:26.150,02:14:52.384
SUB1170,02:14:56.847,02:15:02.019
SUB1172,02:15:02.478,02:15:14.448
SUB1176,02:15:22.122,02:15:40.390
SUB1180,02:15:41.809,02:15:53.445
SUB1184,02:15:55.030,02:15:56.657
SUB1185,02:15:58.659,02:16:00.702
SUB1186,02:16:06.625,02:16:08.335
SUB1187,02:16:10.712,02:16:32.693
SUB1194,02:16:33.986,02:16:37.322
SUB1195,02:16:39.283,02:16:51.628
SUB1198,02:16:52.963,02:17:05.392
SUB1202,02:17:09.104,02:17:14.359
SUB1204,02:17:16.403,02:17:27.998
SUB1207,02:17:29.124,02:17:43.680
SUB1211,02:18:01.281,02:18:12.417
SUB1213,02:18:18.132,02:18:19.299
SUB1214,02:18:25.139,02:18:26.849
SUB1215,02:18:40.904,02:18:56.920
SUB1218,02:19:01.425,02:19:02.634
SUB1219,02:19:17.316,02:19:50.557
SUB1227,02:19:55.229,02:19:56.522
SUB1228,02:19:58.398,02:20:00.901
SUB1229,02:20:12.412,02:20:14.414
SUB1230,02:20:15.207,02:20:29.638
SUB1235,02:20:49.783,02:20:51.368
SUB1236,02:21:08.719,02:21:10.804
SUB1237,02:21:16.268,02:21:31.366
SUB1239,02:21:43.712,02:21:45.005
SUB1240,02:21:59.311,02:22:05.818
SUB,,
SUB1242,02:22:14.576,02:22:32.928
SUB1246,02:22:38.809,02:23:35.908
SUB1260,02:23:52.841,02:24:07.272
SUB1265,02:24:09.024,02:24:10.859
SUB1267,02:27:43.322,02:27:45.699
SUB1268,02:28:37.501,02:29:00.941
SUB1270,02:29:25.716,02:29:26.884
SUB1271,02:29:27.050,02:29:29.553
SUB,,
SUB1272,02:29:30.345,02:29:32.890
SUB1273,02:29:33.098,02:29:35.017
SUB1274,02:29:44.234,02:29:45.319
SUB1275,02:29:45.694,02:29:49.031
SUB1276,02:29:49.156,02:29:50.491
SUB,,
SUB1277,02:29:52.743,02:29:54.995
SUB1278,02:30:09.259,02:30:11.303
SUB1279,02:30:16.475,02:30:17.768
SUB1280,02:30:18.185,02:30:19.394
SUB1281,02:30:28.779,02:30:35.410
SUB,,
SUB1283,02:30:47.464,02:31:17.119
SUB1290,02:31:26.545,02:31:30.382
SUB1291,02:31:34.303,02:32:06.668
SUB1296,02:32:13.425,02:32:18.972
SUB1298,02:32:27.564,02:32:42.162
SUB1304,02:32:53.298,02:32:54.758
SUB1303,02:32:49.461,02:32:50.921
SUB1304,02:32:53.298,02:32:54.758
SUB1305,02:32:57.136,02:33:28.542
SUB1311,02:33:29.710,02:33:31.170
SUB1312,02:33:34.214,02:33:35.674
