Character,Listener,Interaction Count
BILL,ALICE,73
ALICE,BILL,72
ALICE,ROZ,5
ROZ,ALICE,4
ALICE, HELENA,1
HELENA,ALICE,12
ALICE,HELENA,17
BILL,HELENA,7
BILL,ROZ,1
ROZ,BILL,1
HELENA, BILL,2
ROZ, BILL,1
BILL,ZIEGLER,44
BILL, ILONA,2
ZIEGLER,BILL,54
ZIEGLER, ALICE,2
ALICE,ZIEGLER,3
ZIEGLER,ALICE,1
ZIEGLER,ILONA,1
ILONA,ALICE,1
ILONA, BILL,1
ILONA, ZIEGLER,1
ALICE,ILONA,1
BILL,NICK,33
NICK,BILL,34
SECRETARY,NICK,1
ALICE,SZAVOST,21
SZAVOST,ALICE,22
GAYLE,BILL,11
BILL,GAYLE,9
BILL, NUALA,3
BILL,NUALA,2
NUALA,BILL,2
HARRIS,BILL,1
BILL,HARRIS,1
BILL, GAYLE,1
BILL,MANDY,7
ZIEGLER,MANDY,1
MANDY,ZIEGLER,1
MANDY,BILL,4
BILL,LISA,7
LISA,BILL,7
BILL,SARAH,1
SARAH,BILL,1
BILL,GIRL,1
BILL,BOY,2
BOY,BILL,2
BILL,PATIENT,1
PATIENT,BILL,1
BILL,ROSA,3
ROSA,BILL,2
MARION,BILL,19
BILL,MARION,15
CARL,ROSA,3
ROSA,CARL,2
MARION,CARL,2
CARL,MARION,1
CARL,BILL,6
BILL,CARL,5
BILL, MARION,3
STUDENT I,STUDENTS,2
STUDENT 2,STUDENTS,1
STUDENT 2, BILL,1
STUDENT I, BILL,1
DOMINO,BILL,23
BILL,DOMINO,20
ALICE,bill,1
BILL,DOORMAN,1
MAITRE D',BILL,4
BILL,MAITRE D',4
NICK,AUDIENCE,1
VOICE FROM AUDIENCE,NICK,1
NICK,VOICE FROM AUDIENCE,1
NICK,MAITRE D',2
NICK, PERSON AT THE PHONE,1
NICK,PERSON AT THE PHONE,1
BILL,DRIVER,3
MILICH,BILL,47
BILL,MILICH,35
MILICH,MILICH,1
MILICH,JAPANESE MAN 1,3
JAPANESE MAN 1,MILICH,5
MILICH,DAUGHTER,4
MILICH,JAPANESE MAN 2,1
MILICH, JAPANESE MAN 1,4
MILICH, BILL,2
JAPANESE MAN 2,MILICH,1
MILICH, JAPANESE MAN 2,2
MILICH, DAUGHTER,1
DAUGHTER,BILL,2
CAB DRIVER,BILL,3
BILL,CAB DRIVER,3
GATEMAN 1,BILL,4
BILL,GATEMAN 1,3
MASKED BUTLER,BILL,3
BILL,MASKED BUTLER,2
MYSTERIOUS WOMAN,BILL,11
BILL,MYSTERIOUS WOMAN,7
OMINOUS MAN,BILL,1
YOUNG WOMAN,BILL,2
BILL,YOUNG WOMAN,2
MYSTERIOUS WOMAN, YOUNG WOMAN,1
TALL BUTLER,BILL,2
BILL,TALL BUTLER,1
RED CLOAK,BILL,9
BILL,RED CLOAK,5
MYSTERIOUS WOMAN,RED CLOAK,3
RED CLOAK,MYSTERIOUS WOMAN,2
BILL,RED CLOACK,1
BILL,BILL,1
WAITRESS,BILL,7
BILL,WAITRESS,8
BILL,CLERK,15
CLERK,BILL,16
BILL,DAUGHTER,1
HELENA,BILL,7
BILL, HELENA,1
SALLY,BILL,22
BILL,SALLY,19
DRIVER,BILL,1
BILL,RECEPTIONIST,6
RECEPTIONIST,BILL,6
